blocking_key,block_size,sample_names
AMPAC,10,"AMPAC FINE CHEMICALS LLC, AMPAC HOLDINGS LLC, AMPAC FLEXIBLES LLC"
PANAVISION,10,"PANAVISION INC, PANAVISION INTERNATIONAL LP, PANAVISION U K HOLDINGS INC"
GS,10,"GS DEVELOPMENT CORPORAITON, GS TECHNOLOGIES OPERATING CO INC, GS TECHNOLOGIES OPERATING CO INC A DELAWARE CORP"
CENVEO,10,"CENVEO CORP, CENVEO INC, CENVEO OMEMEE LLC"
MAGNETEK,10,"MAGNETEK INC, MAGNETEK INC, MAGNETEK ADS POWER INC"
OIL,10,"OIL STATES INDUSTRIES INC, OIL STATES ENERGY SERVICES LLC, OIL STATES"
SYPRIS,10,"SYPRIS TECHNOLOGIES INC, SYPRIS ELECTRONICS LLC, SYPRIS DATA SYSTEMS INC"
SABRE,10,"SABRE GLBL INC, SABRE INC, SABRE INC"
CONTINENTAL,10,"CONTINENTAL COMMERCIAL PRODUCTS LLC, CONTINENTAL SPRAYERS INTERNATIONAL INC, CONTINENTAL INDUSTRIES INC"
SL,10,"SL MONTEVIDEO TECHNOLOGY INC, SL DELAWARE HOLDINGS INC, SL INDUSTRIES INC"
ISG,10,"ISG RESOURCES INC, ISG MANUFACTURED PRODUCTS INC, ISG MANUFACTURED PRODUCTS INC"
TAYLOR,10,"TAYLOR MADE GOLF CO INC, TAYLOR PRECISION PRODUCTS INC, TAYLOR BUILDING PRODUCTS INC"
GIBSON,10,"GIBSON PIANO VENTURES INC, GIBSON GUITAR CORP, GIBSON GUITAR CORP"
PMC,10,"PMC CINCINNATI INC, PMC BIOGENIX INC, PMC INC A DE CORP"
BEST,10,"BEST MASONRY & TOOL SUPPLY INC, BEST MASONRY & TOOL SUPPLY INC, BEST BLOCK LLC"
INVENTIV,10,"INVENTIV HEALTH INC, INVENTIV HEALTH CLINICAL INC, INVENTIV HEALTH CONSULTING INC"
INTRADO,10,"INTRADO INC, INTRADO INC, INTRADO COMMAND SYSTEMS INC"
YP,10,"YP INTELLECTUAL PROPERTY LLC, YP LLC, YP ADVERTISING & PUBLISHING LLC"
AQUILEX,10,"AQUILEX HOLDINGS LLC, AQUILEX LLC, AQUILEX CORP"
